stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 59986   2   1  97   0   0
9 57960   1   1  98   0   0
6 58403   2   1  96   0   0
4 59076   2   1  97   0   0
2 57265   2   1  97   0   0
6 59192   2   1  97   0   0
7 58643   2   1  97   0   0
8 57699   2   1  97   0   0
9 58485   1   1  97   0   0
3 57867   2   1  97   0   0
7 57363   2   1  97   0   0
8 59346   2   1  97   0   0
0 57632   2   1  97   0   0
5 57711   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 59014   2   1  97   0   0
8 59653   2   1  97   0   0
8 57485   3   1  96   0   0
1 58185   2   1  96   0   0
3 57017   3   1  96   0   0
5 58784   2   1  97   0   0
7 58499   2   1  97   0   0
7 57880   3   1  96   0   0
4 59087   2   1  97   0   0
8 59629   2   1  96   0   0
5 58989   2   1  97   0   0
0 60215   2   1  97   0   0
4 59828   2   1  96   0   0
4 60268   1   1  98   0   0
0 60205   2   1  97   0   0
3 60346   2   1  96   0   0
7 60389   2   1  97   0   0
3 61226   2   2  96   0   0
4 60295   3   1  96   0   0
1 61102   2   1  96   0   0
4 61119   2   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 59914   3   2  96   0   0
9 60409   3   1  95   0   0
4 61966   3   1  96   0   0
6 60401   2   1  96   0   0
1 61339   3   1  96   0   0
8 60631   2   1  96   0   0
7 59800   3   1  96   0   0
4 61268   2   2  96   0   0
8 60862   3   1  96   0   0
2 59511   2   1  96   0   0
7 59662   2   1  97   0   0
8 60372   2   1  97   0   0
6 59367   2   1  97   0   0
8 59284   2   1  97   0   0
7 58712   2   1  97   0   0
4 58738   2   1  97   0   0
9 59100   2   1  97   0   0
3 57943   1   1  98   0   0
6 58732   2   1  97   0   0
7 57273   2   1  97   0   0
1 56928   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 56997   2   1  97   0   0
2 57351   2   1  97   0   0
2 56639   2   1  97   0   0
5 57481   2   1  97   0   0
2 57129   2   1  97   0   0
6 56237   2   1  97   0   0
6 57092   2   1  97   0   0
8 56950   2   1  97   0   0
4 56853   2   1  97   0   0
1 57206   2   1  97   0   0
0 56613   2   1  97   0   0
1 58277   2   1  97   0   0
0 57489   2   1  97   0   0
0 56820   2   1  97   0   0
7 57951   2   1  97   0   0
2 58546   1   1  97   0   0
1 57492   1   1  97   0   0
4 59533   2   1  97   0   0
9 60004   2   1  96   0   0
6 60012   2   1  96   0   0
5 59810   3   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 59166   2   2  96   0   0
8 59309   3   1  96   0   0
2 59962   2   1  96   0   0
6 58495   2   1  97   0   0
1 60976   3   2  95   0   0
9 59778   2   1  96   0   0
5 58930   3   2  96   0   0
0 60358   2   1  96   0   0
2 60137   2   2  96   0   0
8 60072   2   1  97   0   0
8 59635   3   1  96   0   0
5 59807   3   2  95   0   0
3 58866   2   1  97   0   0
5 59363   2   1  96   0   0
4 61075   2   1  96   0   0
9 59026   3   1  96   0   0
2 59016   2   1  97   0   0
4 58682   2   1  97   0   0
2 58819   2   1  97   0   0
1 58490   2   2  96   0   0
3 58021   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 58150   2   2  96   0   0
8 57838   2   1  97   0   0
0 57010   2   1  97   0   0
3 57776   2   1  97   0   0
1 57235   2   1  97   0   0
3 56643   2   1  97   0   0
8 57458   2   1  98   0   0
5 56817   2   1  97   0   0
4 56289   2   1  97   0   0
3 57165   2   1  97   0   0
2 56653   2   1  96   0   0
9 56046   2   1  97   0   0
6 57194   2   1  97   0   0
4 56819   2   1  97   0   0
2 56250   2   1  97   0   0
3 57429   2   1  97   0   0
3 56537   2   1  97   0   0
1 58197   2   1  97   0   0
1 57918   2   1  97   0   0
2 57418   2   1  97   0   0
9 59647   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 58975   2   1  97   0   0
8 58881   2   1  96   0   0
6 58862   2   1  97   0   0
9 60855   2   1  97   0   0
4 59908   2   1  96   0   0
1 60103   2   1  97   0   0
1 60808   3   1  96   0   0
8 59928   2   1  97   0   0
7 60678   3   1  96   0   0
3 60308   2   1  97   0   0
5 60804   3   1  95   0   0
4 60959   3   2  96   0   0
1 60770   3   2  96   0   0
0 60441   2   1  97   0   0
3 60207   2   1  96   0   0
3 61016   3   1  96   0   0
6 61089   3   2  96   0   0
7 60691   2   2  96   0   0
7 59193   1   1  98   0   0
9 60855   3   1  96   0   0
1 60650   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 59706   2   1  97   0   0
5 59972   2   1  97   0   0
1 59506   2   1  96   0   0
8 59849   2   1  97   0   0
6 59136   2   1  97   0   0
5 58854   2   1  96   0   0
9 59592   2   1  97   0   0
4 58882   2   1  97   0   0
2 58691   2   1  97   0   0
0 58881   2   1  97   0   0
5 58483   2   1  97   0   0
4 58151   2   1  97   0   0
3 58545   2   1  97   0   0
5 57975   2   1  97   0   0
8 58052   3   1  96   0   0
9 58655   2   1  97   0   0
2 58479   2   1  96   0   0
5 57802   2   1  97   0   0
8 58124   2   1  96   0   0
4 58057   2   1  97   0   0
5 57645   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
9 58462   2   1  97   0   0
2 56619   2   1  97   0   0
0 57226   2   1  97   0   0
8 57985   2   1  96   0   0
7 57784   2   1  97   0   0
2 58919   2   1  97   0   0
0 59206   2   1  97   0   0
8 58682   2   1  97   0   0
2 59463   2   1  97   0   0
3 61059   3   2  96   0   0
7 59278   2   1  97   0   0
1 60248   2   1  96   0   0
8 60257   3   2  96   0   0
1 59984   2   1  96   0   0
