stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 70278   3   1  95   0   0
5 62537   3   1  96   0   0
3 59947   2   1  96   0   0
7 59876   3   1  96   0   0
9 59116   2   1  96   0   0
6 59964   3   1  96   0   0
5 59980   3   1  96   0   0
0 59809   3   1  96   0   0
7 59663   3   1  96   0   0
2 59941   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 59304   3   2  96   0   0
2 60677   2   1  96   0   0
2 59896   2   1  97   0   0
2 59320   3   1  96   0   0
7 59488   2   1  97   0   0
6 60862   2   1  96   0   0
5 59929   2   1  97   0   0
1 59259   2   1  97   0   0
3 59394   2   1  96   0   0
1 59018   2   1  96   0   0
0 58451   2   1  96   0   0
3 58284   2   1  97   0   0
4 58160   2   1  97   0   0
4 58603   2   1  97   0   0
4 58167   2   1  97   0   0
8 57663   2   1  97   0   0
3 58785   2   1  97   0   0
4 58727   3   1  96   0   0
3 58375   2   1  97   0   0
5 58344   2   1  97   0   0
8 57622   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 58998   3   1  96   0   0
8 58310   2   1  96   0   0
9 58688   2   1  97   0   0
6 59475   2   1  97   0   0
2 58682   2   1  97   0   0
4 59446   2   1  97   0   0
4 60137   2   1  97   0   0
7 59038   2   1  97   0   0
8 61613   2   1  97   0   0
8 60176   2   1  96   0   0
0 60607   3   1  96   0   0
9 61691   3   1  96   0   0
6 61062   2   1  97   0   0
4 60645   2   1  96   0   0
3 60675   3   1  96   0   0
1 61167   2   1  97   0   0
4 61239   3   2  95   0   0
7 60797   3   1  95   0   0
5 60747   3   1  95   0   0
6 60502   3   1  96   0   0
9 61478   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 60759   3   1  96   0   0
2 61120   2   1  96   0   0
9 60775   3   2  96   0   0
7 60910   3   1  96   0   0
1 60710   2   1  97   0   0
9 60930   2   2  96   0   0
1 60961   3   1  96   0   0
7 60728   2   1  97   0   0
5 59190   1   1  97   0   0
3 58578   2   1  97   0   0
2 58727   2   1  97   0   0
5 58273   2   1  97   0   0
6 58492   2   1  97   0   0
9 58818   2   1  97   0   0
7 58496   2   1  97   0   0
5 59405   2   1  97   0   0
2 57363   2   1  97   0   0
4 58344   2   1  97   0   0
7 58301   2   1  97   0   0
5 58356   2   1  97   0   0
3 58063   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 57959   2   1  97   0   0
0 58082   2   1  97   0   0
2 58545   2   1  97   0   0
5 58086   2   1  97   0   0
1 58665   2   1  97   0   0
8 58012   2   1  96   0   0
5 58852   2   1  97   0   0
5 58200   3   1  96   0   0
1 58330   2   1  97   0   0
0 58977   3   1  96   0   0
1 59449   2   1  97   0   0
0 59694   2   1  96   0   0
3 59537   2   1  96   0   0
7 60573   2   1  97   0   0
3 60542   2   2  96   0   0
6 60591   1   1  97   0   0
0 60085   2   1  96   0   0
0 60539   2   1  97   0   0
0 60742   2   1  96   0   0
9 60497   3   1  96   0   0
0 60452   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 61361   2   2  96   0   0
6 60988   3   1  95   0   0
7 61283   3   1  96   0   0
2 60446   3   1  96   0   0
9 60512   3   2  96   0   0
5 60701   3   1  96   0   0
5 60181   3   1  96   0   0
6 61186   2   1  96   0   0
2 59879   2   1  96   0   0
3 60502   3   1  96   0   0
1 59933   1   1  98   0   0
9 59697   2   1  97   0   0
0 59959   2   1  97   0   0
9 59533   2   1  96   0   0
7 58709   2   1  97   0   0
5 58191   2   1  97   0   0
8 57907   2   1  96   0   0
3 58929   1   1  98   0   0
4 58131   2   1  97   0   0
3 57979   2   1  96   0   0
3 58422   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 57850   2   1  97   0   0
7 61598   2   1  97   0   0
53 98268   3   2  95   0   0
04 124899   4   2  95   0   0
39 72417   2   1  96   0   0
6 60696   3   2  96   0   0
9 56040   2   1  97   0   0
0 57501   2   1  96   0   0
7 56901   2   1  97   0   0
4 56485   2   1  97   0   0
1 55952   1   1  98   0   0
7 57115   2   1  97   0   0
7 57814   2   1  96   0   0
4 57465   2   1  97   0   0
6 57890   2   1  96   0   0
3 58093   2   1  96   0   0
6 58679   2   1  97   0   0
6 57975   3   1  96   0   0
3 58789   3   1  96   0   0
8 59341   2   1  96   0   0
0 58996   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
9 68073   2   2  96   0   0
8 63171   2   1  96   0   0
5 59455   3   1  96   0   0
2 63128   3   1  96   0   0
5 72399   3   1  96   0   0
2 69256   4   2  95   0   0
1 59933   3   2  96   0   0
3 59998   2   1  96   0   0
6 59224   2   2  96   0   0
9 59624   3   1  95   0   0
7 59430   2   1  96   0   0
6 60356   2   2  97   0   0
6 60125   3   1  96   0   0
2 60246   3   1  96   0   0
0 59736   2   1  97   0   0
9 59794   2   1  97   0   0
6 59615   2   1  96   0   0
9 58141   2   1  96   0   0
6 58701   2   1  97   0   0
3 59054   2   1  97   0   0
1 58225   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 58094   2   1  96   0   0
9 58388   2   1  97   0   0
5 58119   2   1  97   0   0
6 57373   2   1  97   0   0
7 56717   2   1  97   0   0
9 57869   2   1  97   0   0
6 57097   2   1  97   0   0
7 56574   2   1  97   0   0
2 56592   2   1  97   0   0
8 56566   2   1  97   0   0
8 57539   2   1  97   0   0
4 56835   2   1  97   0   0
1 56569   3   1  96   0   0
2 57970   2   1  96   0   0
9 58757   2   1  97   0   0
6 57974   2   1  96   0   0
8 56594   2   1  96   0   0
9 56889   2   1  97   0   0
7 57399   2   1  97   0   0
0 57740   2   1  97   0   0
9 58185   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 58523   2   1  97   0   0
4 59393   2   1  97   0   0
5 58793   2   1  97   0   0
7 59243   2   1  96   0   0
1 58820   2   1  97   0   0
4 60003   2   1  97   0   0
6 60197   2   1  97   0   0
6 60006   3   1  96   0   0
8 60618   2   1  96   0   0
7 61154   2   1  96   0   0
3 61102   3   1  96   0   0
0 60475   4   1  95   0   0
0 60927   3   1  96   0   0
5 61134   3   2  95   0   0
9 60336   3   2  95   0   0
0 60045   2   1  96   0   0
4 60595   2   1  96   0   0
7 61026   2   1  96   0   0
1 60954   3   1  96   0   0
2 60599   2   2  96   0   0
1 60489   2   2  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 60338   2   1  97   0   0
3 60139   2   1  97   0   0
5 59976   2   1  97   0   0
6 59885   2   1  97   0   0
4 59476   2   1  97   0   0
7 59708   2   1  96   0   0
7 59394   2   1  97   0   0
0 59125   2   1  96   0   0
8 59604   2   1  96   0   0
7 58435   2   1  97   0   0
0 58246   2   1  97   0   0
5 59048   2   1  96   0   0
9 57832   2   1  97   0   0
5 58238   2   1  97   0   0
2 58492   2   1  96   0   0
4 58431   2   1  97   0   0
2 58604   2   1  97   0   0
5 58245   2   1  97   0   0
7 58373   2   1  97   0   0
8 58615   3   1  96   0   0
6 58321   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 59338   2   1  97   0   0
3 58523   2   1  97   0   0
4 59251   2   1  97   0   0
5 57553   2   1  97   0   0
2 57416   2   1  97   0   0
5 58019   2   1  97   0   0
4 58620   2   1  97   0   0
3 59385   3   1  96   0   0
4 59412   2   1  96   0   0
4 59293   3   1  96   0   0
6 60163   2   1  97   0   0
2 62008   3   1  96   0   0
0 60014   2   1  97   0   0
1 60024   2   1  96   0   0
4 60954   3   1  96   0   0
4 61114   2   2  96   0   0
1 60324   2   1  96   0   0
1 60368   2   1  96   0   0
2 59912   3   1  95   0   0
0 60957   3   1  96   0   0
0 60287   4   2  95   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 60636   2   1  97   0   0
3 60868   3   2  96   0   0
4 60755   2   1  96   0   0
0 60903   3   1  95   0   0
8 59929   3   2  96   0   0
1 60226   2   1  97   0   0
0 61071   2   1  97   0   0
6 59560   2   1  97   0   0
7 60203   3   2  95   0   0
8 59477   2   1  97   0   0
4 59932   2   1  97   0   0
8 59218   2   1  97   0   0
4 58971   2   1  97   0   0
6 59609   2   1  97   0   0
5 59008   2   1  97   0   0
5 58789   2   1  97   0   0
9 62881   2   1  97   0   0
4 66332   3   1  96   0   0
6 58752   2   1  97   0   0
0 58263   2   1  97   0   0
1 58974   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
