stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 59158   2   1  97   0   0
6 59049   2   1  97   0   0
9 59307   2   1  97   0   0
0 59461   3   1  96   0   0
5 59045   2   1  97   0   0
9 59860   3   1  96   0   0
3 59278   3   1  96   0   0
8 59661   2   2  96   0   0
4 59770   2   1  97   0   0
4 59188   2   1  97   0   0
2 60548   2   1  97   0   0
5 58824   3   1  96   0   0
5 58632   2   2  96   0   0
6 59876   3   1  96   0   0
8 59824   3   1  96   0   0
6 58342   3   1  95   0   0
1 60021   2   1  96   0   0
6 60265   3   1  96   0   0
2 59156   2   2  96   0   0
4 59394   3   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 59744   3   1  96   0   0
0 58989   3   2  96   0   0
9 60410   2   1  97   0   0
3 58140   3   1  96   0   0
3 59775   2   2  96   0   0
4 59221   1   1  98   0   0
0 59006   2   1  97   0   0
5 59352   2   1  96   0   0
7 58832   2   1  97   0   0
8 58604   2   1  96   0   0
9 59592   2   1  96   0   0
8 57908   2   1  97   0   0
0 57133   2   1  97   0   0
4 58931   2   1  96   0   0
0 58871   2   1  97   0   0
9 57793   2   1  96   0   0
5 58495   2   1  97   0   0
0 57942   3   1  96   0   0
4 59450   2   1  96   0   0
6 58810   2   1  97   0   0
1 57666   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 58966   2   1  97   0   0
9 59199   2   1  96   0   0
0 57534   2   2  96   0   0
8 58744   2   1  96   0   0
3 59014   2   1  97   0   0
1 59853   2   1  97   0   0
5 58837   2   1  96   0   0
7 59091   2   1  96   0   0
0 58326   2   1  97   0   0
4 59879   2   1  97   0   0
9 59294   2   1  97   0   0
9 58685   2   1  96   0   0
9 59684   2   1  97   0   0
6 59425   3   1  96   0   0
7 59037   3   1  96   0   0
6 59068   2   2  96   0   0
1 59017   2   2  96   0   0
6 60021   3   2  96   0   0
5 59094   3   1  96   0   0
1 58404   2   1  96   0   0
6 59509   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 60228   2   2  96   0   0
5 58624   2   1  97   0   0
3 60107   3   1  96   0   0
9 60196   2   1  96   0   0
3 59459   2   1  96   0   0
4 60291   2   1  96   0   0
9 59206   2   1  97   0   0
0 60325   3   1  96   0   0
4 60239   2   1  97   0   0
6 59941   2   1  97   0   0
9 59614   2   1  97   0   0
8 59008   2   2  97   0   0
6 59291   2   1  97   0   0
8 59888   2   1  96   0   0
3 59112   2   1  97   0   0
9 58979   2   1  96   0   0
2 59915   2   1  96   0   0
8 58840   2   1  97   0   0
3 58739   2   1  97   0   0
5 59715   2   1  96   0   0
7 59622   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 58105   3   1  96   0   0
9 59674   2   1  96   0   0
5 59958   2   1  97   0   0
0 59762   3   1  96   0   0
3 60027   2   1  97   0   0
2 59718   2   1  97   0   0
1 59037   3   1  96   0   0
9 60507   3   1  96   0   0
6 58804   2   1  97   0   0
5 59739   2   1  97   0   0
4 60657   2   1  96   0   0
5 59373   2   1  97   0   0
8 60393   3   1  96   0   0
4 61150   2   1  96   0   0
0 59668   3   1  96   0   0
0 61059   2   1  96   0   0
3 60266   3   1  96   0   0
0 59089   3   1  96   0   0
0 60293   2   1  97   0   0
0 60823   3   1  96   0   0
6 60640   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 60257   2   1  96   0   0
5 59022   3   1  95   0   0
0 61611   2   1  96   0   0
6 59505   3   1  96   0   0
4 59779   2   2  96   0   0
5 60170   2   1  96   0   0
6 59876   2   1  97   0   0
2 58867   2   1  97   0   0
2 59823   2   1  96   0   0
9 59910   2   1  96   0   0
0 58780   2   1  97   0   0
5 59401   3   1  96   0   0
9 58109   2   1  97   0   0
4 60459   2   1  97   0   0
8 60132   2   1  97   0   0
3 59175   2   1  97   0   0
9 59074   3   1  96   0   0
2 59358   2   1  96   0   0
4 58956   2   1  97   0   0
4 58935   2   1  96   0   0
4 59321   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 58920   2   1  97   0   0
5 59673   3   1  96   0   0
5 58957   2   1  96   0   0
4 58189   2   1  97   0   0
6 59880   3   1  96   0   0
5 59322   2   1  97   0   0
